撵  # U64B5
撼  # U64BC
擂  # U64C2
擅  # U64C5
操  # U64CD
擎  # U64CE
擒  # U64D2
擞  # U64DE
擦  # U64E6
攀  # U6500
攒  # U6512
攘  # U6518
攫  # U652B
支  # U652F
收  # U6536
改  # U6539
攻  # U653B
放  # U653E
政  # U653F
故  # U6545
效  # U6548
敌  # U654C
敏  # U654F
救  # U6551
敖  # U6556
教  # U6559
敛  # U655B
敝  # U655D
敞  # U655E
敢  # U6562
散  # U6563
敦  # U6566
敬  # U656C
数  # U6570
敲  # U6572
整  # U6574
敷  # U6577
文  # U6587
斋  # U658B
斌  # U658C
斑  # U6591
斗  # U6597
料  # U6599
斜  # U659C
斟  # U659F
斡  # U65A1
斤  # U65A4
斥  # U65A5
斧  # U65A7
斩  # U65A9
断  # U65AD
斯  # U65AF
新  # U65B0
方  # U65B9
施  # U65BD
旁  # U65C1
旅  # U65C5
旋  # U65CB
族  # U65CF
旗  # U65D7
无  # U65E0
既  # U65E2
日  # U65E5
旦  # U65E6
旧  # U65E7
旨  # U65E8
早  # U65E9
旬  # U65EC
旭  # U65ED
旱  # U65F1
时  # U65F6
旷  # U65F7
旺  # U65FA
昂  # U6602
昆  # U6606
昌  # U660C
明  # U660E
昏  # U660F
易  # U6613
昔  # U6614
星  # U661F
映  # U6620
春  # U6625
昧  # U6627
昨  # U6628
昭  # U662D
是  # U662F
昼  # U663C
显  # U663E
晃  # U6643
晋  # U664B
晌  # U664C
晒  # U6652
晓  # U6653
晕  # U6655
晚  # U665A
晤  # U6664
晦  # U6666
晨  # U6668
普  # U666E
景  # U666F
晰  # U6670
晴  # U6674
晶  # U6676
智  # U667A
